overall_episode,season,episode_in_season,season_episode_code,title,synopsis,theme_tags,episode_type,is_retired,primary_country,all_countries,region,primary_destination,iso2,flag,lat,long,geo_match,original_air_date,air_year,air_month,air_weekday,days_since_premiere,gap_since_prev_episode_d,imdb_tconst,imdb_url,imdb_rating,imdb_votes,imdb_rating_shrunk,imdb_low_votes,image_url,image_source,best_summary,summary_source,best_runtime,watch_url,tvmaze_url,tvmaze_id
61,5,7,S05E07,The Czech Republic Beyond Prague,"Art Nouveau; peat bathing in Olomouc, Moravsky Krumlov, Trebon and Konopiste; Holocaust memorial in Terezin.",Art & Architecture; History & Heritage,Standard,No,Czech Republic,Czech Republic,Eastern Europe,Czech Republic,CZ,🇨🇿,49.7439047,15.3381061,full,2008-11-16,2008,Nov,Sun,2996,7,tt1461040,https://www.imdb.com/title/tt1461040/,7.1,28,7.398013245033112,FALSE,https://i1.ytimg.com/vi/OkyWd9rFhg8/maxresdefault.jpg,ricksteves.com,"Few travelers venture beyond Prague to experience the Czech Republic's many cultural riches and offbeat delights. We'll get started with a whirlwind of Art Nouveau, local pub music, stinky-cheese tasting, and peat bathing in places like Olomouc, Moravský Krumlov, Třeboň, and Konopiště. We'll also tour a remarkable memorial to the Holocaust in Terezín, and the charming castle town of Český Krumlov.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/czech-republic-beyond-prague,https://www.tvmaze.com/episodes/525307/rick-steves-europe-5x07-czech-republic-beyond-prague,525307
62,5,8,S05E08,Athens and Side Trips,"The Parthenon, Agora and National Archaeological Museum in Athens; the ruins of the oracle at Delphi; traffic-free Isle of Hydra.",Art & Architecture; History & Heritage,Standard,No,Greece,Greece,Mediterranean,Athens,GR,🇬🇷,37.9755648,23.7348324,full,2008-11-23,2008,Nov,Sun,3003,7,tt1461033,https://www.imdb.com/title/tt1461033/,7.4,29,7.55654129701362,FALSE,https://i1.ytimg.com/vi/lrvD3NS-tA8/maxresdefault.jpg,ricksteves.com,"The thriving capital of Greece sprawls out from the foot of its magnificent Acropolis. We'll tour the must-sees of ancient Athens: the Parthenon, Agora, and amazing National Archaeological Museum. We'll take the fast-paced pulse of the modern city, but waste no time getting to Rick's favorite side-trip destinations: the ruined temple of the mystical oracle at Delphi and a fast boat to the romantic, traffic-free isle of Hydra.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/athens-and-side-trips,https://www.tvmaze.com/episodes/525308/rick-steves-europe-5x08-athens-and-sidetrips,525308
63,5,9,S05E09,Greece's Peloponnese,Old port town of Nafplio; the ruins of Olympia; preserved theater at Epidauros; ancient capital of Mycenae; Mani Peninsula.,History & Heritage; Nature & Outdoors; Modern Life & Urban,Standard,No,Greece,Greece,Mediterranean,Peloponnese,GR,🇬🇷,37.363372,22.2394984,full,2008-11-30,2008,Nov,Sun,3010,7,tt1461036,https://www.imdb.com/title/tt1461036/,7.3,25,7.518299770239222,FALSE,https://i1.ytimg.com/vi/FnqfEwM-VtA/maxresdefault.jpg,ricksteves.com,"After exploring the ancient capital of Mycenae, we'll enjoy Greece's charming old port town of Nafplio, take center stage at the remarkably preserved theater at Epidavros, and time-trip through the ruins of Olympia. Then we'll wander off the beaten path along the rustic, rough-and-tumble Mani Peninsula — with a relaxing stop in the idyllic beach town of Kardamyli — and marvel at Greece's Rock of Gibraltar: the fortress town of Monemvasia.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/greeces-peloponnese,https://www.tvmaze.com/episodes/525309/rick-steves-europe-5x09-greeces-peloponnese,525309
64,5,10,S05E10,Copenhagen,Copenhagen's Viking history; Europe's first pedestrian boulevard; palace treasury; bike ride through a hippie squatter community; Tivoli Gardens.,Art & Architecture; History & Heritage; Modern Life & Urban,Standard,No,Denmark,Denmark,Scandinavia,Copenhagen,DK,🇩🇰,55.6867243,12.5700724,full,2008-12-07,2008,Dec,Sun,3017,7,tt1461034,https://www.imdb.com/title/tt1461034/,7.6,30,7.664753495217071,FALSE,https://i.ytimg.com/vi/jBT5dybMKyw/maxresdefault.jpg,ricksteves.com,"As we get to know Copenhagen, we'll discover reminders of its Viking history and see reflections today of its proudly independent ways. We'll stroll down Europe's first great pedestrian boulevard, ogle crown jewels in the palace treasury, and take a bike ride through an inspirational hippie squatter community, finishing at Copenhagen's full-time carnival, Tivoli Gardens.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/copenhagen,https://www.tvmaze.com/episodes/525310/rick-steves-europe-5x10-copenhagen,525310
65,5,11,S05E11,Denmark Beyond Copenhagen,The open-air museum in Aarhus; royal burial church and Viking ship museum in Roskilde.,Art & Architecture; History & Heritage; Religion & Spirituality,Standard,No,Denmark,Denmark,Scandinavia,Denmark,DK,🇩🇰,55.670249,10.3333283,full,2008-12-14,2008,Dec,Sun,3024,7,tt1461035,https://www.imdb.com/title/tt1461035/,7.8,25,7.773401811055548,FALSE,https://i1.ytimg.com/vi/mfsX5UOCGkI/maxresdefault.jpg,ricksteves.com,"Using Copenhagen as a springboard, we'll visit the very best of Denmark. Aarhus welcomes us with its ruddy affluence, charming open-air museum, and eerily well-preserved ancient bog man. Roskilde impresses visitors with its royal burial church and the best Viking-ship museum anywhere. And the delightfully quaint isle of Ærø comes with half-timbered cottages, ships in bottles, and cobbled alleyways that remind us of the world of Hans Christian Andersen.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/denmark-beyond-copenhagen,https://www.tvmaze.com/episodes/525312/rick-steves-europe-5x11-denmark-beyond-copenhagen,525312
66,5,12,S05E12,Istanbul,The Grand Bazaar and spice market in Istanbul; the fall of the ancient capital of Byzantium; Hagia Sophia; Blue Mosque; Topkapi Palace.,Food & Cuisine; Art & Architecture; History & Heritage; Religion & Spirituality; Modern Life & Urban,Standard,Yes,Turkey,Turkey,Beyond Europe,Istanbul,TR,🇹🇷,41.006381,28.9758715,full,2008-12-21,2008,Dec,Sun,3031,7,tt1461038,https://www.imdb.com/title/tt1461038/,7,26,7.357933774834437,FALSE,https://i.ytimg.com/vi/RMV77OShj7g/hqdefault.jpg,ricksteves.com,"Istanbul's rich heritage spans the centuries from Christian Byzantium to Muslim Ottoman rule to today's thriving city. We start our look back at the Roman-tinged Hippodrome, then indulge in the ancient ritual of the Turkish bath. We take in the Blue Mosque and the grand Hagia Sophia, taste Turkish delight at the venerable Spice Market, and explore Topkapı Palace and its harem room deep within.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/istanbul-capital,https://www.tvmaze.com/episodes/525313/rick-steves-europe-5x12-istanbul,525313
67,5,13,S05E13,Iran: Tehran and Side Trips,"Historical sites in Tehran, Iran; tranquil village; anti-American propaganda.",NA,Standard,No,Iran,Iran,Beyond Europe,Tehran,IR,🇮🇷,35.6892523,51.3896004,full,2008-12-28,2008,Dec,Sun,3038,7,tt1461308,https://www.imdb.com/title/tt1461308/,8.1,17,7.89260216443224,FALSE,https://i1.ytimg.com/vi/bKoPWaincHg/maxresdefault.jpg,ricksteves.com,"As he's done with previous programs on Israel, Egypt, and eastern Turkey, Rick takes us beyond Europe to a place that's rich with history…and mystery. In this first of two half-hour shows on Iran, Rick dodges traffic in Tehran, enjoys the tranquility of a nearby village, and encounters both anti-American propaganda and a warm welcome from everyday Iranians.


Note on the script: This episode of Rick Steves' Europe was created with footage from the one-hour television special, ""Rick Steves' Iran: Yesterday and Today."" Aside from minor changes, the first half of the special's script, below, serves as the script for this episode.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/iran-tehran-and-side-trips,https://www.tvmaze.com/episodes/525314/rick-steves-europe-5x13-iran-yesterday-and-today,525314
68,5,14,S05E14,Iran: Historic Capitals,"Three historic capitals of Iran are Persepolis, Shiraz and Esfahan.",History & Heritage,Standard,No,Iran,Iran,Beyond Europe,Iran Historic Capitals,IR,🇮🇷,32.6475314,54.5643516,country,2009-01-04,2009,Jan,Sun,3045,7,tt1461039,https://www.imdb.com/title/tt1461039/,7.6,23,7.674397632802592,FALSE,https://i1.ytimg.com/vi/6ynXdo15k04/maxresdefault.jpg,ricksteves.com,"Iran's rich history goes back millennia, to the days when Persepolis was home to the ""king of kings."" In this episode, we explore three historic capitals of Iran: Persepolis, with its splendid monuments; Shiraz, with the tombs of Iran's most beloved poets; and Esfahan, with its extraordinary mosques and endearing people.


Note on the script: This episode of Rick Steves' Europe was created with footage from the one-hour television special, ""Rick Steves' Iran: Yesterday and Today."" Aside from minor changes, the second half of the special's script, below, serves as the script for this episode (starting with the section on Esfahan).
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/iran-historic-capitals,https://www.tvmaze.com/episodes/525315/rick-steves-europe-5x14-iran-tehran-and-sidetrips,525315
69,6,1,S06E01,Andalucia: The Best of Southern Spain,"Exploring the cities of Seville, Cordoba and Granada; flamenco, sherry and horses; white-washed hilltowns; Costa del Sol sun; Britain in Gibraltar.",Food & Cuisine; Music & Festivals,Special,No,Spain,Spain,Iberia,Andalucia,ES,🇪🇸,37.3399964,-4.5811614,full,2010-10-01,2010,Oct,Fri,3680,635,tt13281786,https://www.imdb.com/title/tt13281786/,8.1,9,7.842323901264297,TRUE,https://i1.ytimg.com/vi/eP93PQMmXsc/maxresdefault.jpg,ricksteves.com,"Join Rick as he weaves Andalucía's rich mix of culture, cuisine, history, and natural wonders into a 60-minute special. The hour includes the major cities of Sevilla, Córdoba, and Granada; flamenco, sherry, and horses; dramatic white-washed hill towns; and fun in the Costa del Sol sun — plus a dash of Britain in Gibraltar.


Content: Segments from three half-hour episodes of Rick Steves' Europe: 605 Granada, Córdoba, and Spain's Costa del Sol, 606 Andalucía, Gibraltar, and Tangier, and 313 Sevilla — woven together with additional footage. Length: 55 minutes. Release 2010.
",ricksteves.com,60,https://www.ricksteves.com/tv-programmers/specials/andalucia,https://www.tvmaze.com/episodes/525317/rick-steves-europe-6x01-andalucia-the-best-of-southern-spain,525317
70,6,2,S06E02,Croatia: Adriatic Delights,Dalmatian Coast; hiking through Plitvice Lakes National Park; Zagreb; Istrian Peninsula.,Nature & Outdoors,Standard,No,Croatia,Croatia,Balkans,Croatia,HR,🇭🇷,45.3658443,15.6575209,full,2010-10-03,2010,Oct,Sun,3682,2,tt1751571,https://www.imdb.com/title/tt1751571/,8,24,7.872847682119205,FALSE,https://i1.ytimg.com/vi/GVxZxOaEuF4/maxresdefault.jpg,ricksteves.com,"A fascinating land with a hard-fought history in a complex corner of Europe, Croatia is emerging as one of Europe's top destinations. Sampling the very best of Croatia, we start by exploring the fabled Dalmatian Coast from dramatic Dubrovnik to crusty Adriatic island ports. Heading inland, we hike through Plitvice Lakes National Park and enjoy the thriving capital city Zagreb. Our Croatian finale: the Istrian Peninsula and its enchanting port town of Rovinj.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/croatia-adriatic-delights,https://www.tvmaze.com/episodes/525318/rick-steves-europe-6x02-croatia-adriatic-delights,525318
71,6,3,S06E03,Dubrovnik and Balkan Side-Trips,"Dubrovnik on the Adriatic Sea coast; Mostar, Bosnia and Herzegovina; Montenegro's Bay of Kotor.",Nature & Outdoors,Standard,No,Croatia,Croatia; Bosnia and Herzegovina; Montenegro,Balkans,Dubrovnik,HR,🇭🇷,42.6491029,18.0939501,full,2010-10-10,2010,Oct,Sun,3689,7,tt1751572,https://www.imdb.com/title/tt1751572/,7.9,21,7.817704194260485,FALSE,https://i1.ytimg.com/vi/D5Buk6NPVPg/maxresdefault.jpg,ricksteves.com,"Nestled inside its mighty ramparts is Dubrovnik, the ""Pearl of the Adriatic."" From this remarkably preserved medieval fortress city, we venture into less-touristed corners of the former Yugoslavia. In Montenegro, we sail the fjord-like Bay of Kotor and explore its mysterious, mountainous interior. And in Bosnia, we visit Mostar — war-torn in the '90s, but bursting with promise today.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/dubrovnik-and-balkan-sidetrips,https://www.tvmaze.com/episodes/525319/rick-steves-europe-6x03-dubrovnik-and-balkan-side-trips,525319
72,6,4,S06E04,The Best of Slovenia,Little Slovenia's capital of Ljubljana; mountain resort of Lake Bled in the Julian Alps.,Nature & Outdoors; Modern Life & Urban,Standard,No,Slovenia,Slovenia,Balkans,Slovenia,SI,🇸🇮,46.1199444,14.8153333,full,2010-10-17,2010,Oct,Sun,3696,7,tt1751574,https://www.imdb.com/title/tt1751574/,7.2,21,7.49103752759382,FALSE,https://i1.ytimg.com/vi/I8DlXa_933Y/maxresdefault.jpg,ricksteves.com,"Little Slovenia is Europe's most underrated alpine country. From the prosperous capital of Ljubljana, we enjoy the mountain resort of Lake Bled, venture into the Julian Alps for natural thrills mixed with WWI history, go spelunking in a gigantic cave, and swim with Slavs in a charming Adriatic port.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/slovenia,https://www.tvmaze.com/episodes/525320/rick-steves-europe-6x04-best-of-slovenia,525320
73,6,5,S06E05,"Granada, Cordoba, and Spain's Costa del Sol",Historic Spanish capitals Granada and Cordoba; Andalucian culture; Costa del Sol.,NA,Standard,No,Spain,Spain,Iberia,Granada and Cordoba,ES,🇪🇸,37.1734995,-3.5995337,simple,2010-10-24,2010,Oct,Sun,3703,7,tt1738084,https://www.imdb.com/title/tt1738084/,7.4,20,7.588561107766406,FALSE,https://i1.ytimg.com/vi/QUlf-CawFZA/maxresdefault.jpg,ricksteves.com,"Andalucía's Moorish heritage sparkles in the historic capitals of Granada and Córdoba. And the pride of the Reconquista and the power of Queen Isabel and King Ferdinand enliven the region's great sights. Tasting the smooth sherry and marveling at prancing stallions, we find the passion in Andalusian culture. And we top it off with fun in the Spanish sun on the Costa del Sol.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/granada-cordoba-and-spains-costa-del-sol,https://www.tvmaze.com/episodes/525321/rick-steves-europe-6x05-granada-cordoba-and-spains-costa-del-sol,525321
74,6,6,S06E06,"Andalucia, Gibraltar, and Tangier",Spanish culture; windsurfing in Tarifa; Rock of Gibraltar; sailing to Tangier.,NA,Standard,No,Spain,Spain; Gibraltar; Morocco,Iberia,Andalucia and Morocco,ES,🇪🇸,37.3399964,-4.5811614,simple,2010-10-31,2010,Oct,Sun,3710,7,tt1751570,https://www.imdb.com/title/tt1751570/,7.3,20,7.54310656231186,FALSE,https://i1.ytimg.com/vi/36UPumotJQ8/maxresdefault.jpg,ricksteves.com,"Exploring Andalucía, we experience the quintessence of Spanish culture. Starting up high, in Spain's whitewashed hill towns, we roll down to the coast to enjoy the windsurfing mecca of Tarifa. Then we catch a bit of Britain on the Rock of Gibraltar, and sail to Africa for a Moroccan finale in Tangier.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/andalucia-gibraltar-and-tangier,https://www.tvmaze.com/episodes/525323/rick-steves-europe-6x06-andalucia-gibraltar-and-tangier,525323
75,6,7,S06E07,Oslo,Viking ships; Opera House; World War II tales; Norwegian art.,Art & Architecture; History & Heritage; Music & Festivals,Standard,No,Norway,Norway,Scandinavia,Oslo,NO,🇳🇴,59.9133301,10.7389701,full,2010-11-07,2010,Nov,Sun,3717,7,tt1761830,https://www.imdb.com/title/tt1761830/,7.9,24,7.822847682119206,FALSE,https://i1.ytimg.com/vi/6irPlCJapZQ/maxresdefault.jpg,ricksteves.com,"The proud spirit of the Norwegian people shines in every dimension of their capital city — from its once-fearsome Viking ships to its sleek new Opera House, from a fun folk museum that keeps traditions alive to the constant festival of its thriving harborfront. Connecting with the culture, we enjoy art — from Vigeland's statues to Munch's scream — and join local friends for a boat ride on their fjord.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/oslo,https://www.tvmaze.com/episodes/525324/rick-steves-europe-6x07-oslo,525324
76,6,8,S06E08,"Norway's West: Fjords, Mountains and Bergen",Sailing under towering fjord cliffs; hiking glaciers; Hanseatic heritage.,Nature & Outdoors,Standard,No,Norway,Norway,Scandinavia,Norwegian Fjords,NO,🇳🇴,62.1266102,7.1658394,full,2010-11-14,2010,Nov,Sun,3724,7,tt1763872,https://www.imdb.com/title/tt1763872/,7.8,23,7.7722699732281235,FALSE,https://i1.ytimg.com/vi/BuimvwZrs_g/maxresdefault.jpg,ricksteves.com,"For Scandinavia's most thrilling sightseeing, we sail under towering fjord cliffs, hike on powerful glaciers, and find surviving traditions in remote farm hamlets. Then we delve into the Hanseatic heritage and enjoy the salty hospitality of Norway's historic capital, Bergen.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/norways-west-fjords-mountains-and-bergen,https://www.tvmaze.com/episodes/525325/rick-steves-europe-6x08-norways-west-fjords-mountains-and-bergen,525325
77,6,9,S06E09,Stockholm,"Cultural highlights of Stockholm, Sweden's capital, include gourmet reindeer and vodka; sailing the archipelago.",Food & Cuisine; Modern Life & Urban,Standard,No,Sweden,Sweden,Scandinavia,Stockholm,SE,🇸🇪,59.3251172,18.0710935,full,2010-11-21,2010,Nov,Sun,3731,7,tt1751573,https://www.imdb.com/title/tt1751573/,7.5,23,7.625461462589827,FALSE,https://i1.ytimg.com/vi/IZX77XG4Uxs/maxresdefault.jpg,ricksteves.com,"Sweden's capital, confident and self-assured, glitters with souvenirs from the day when it ruled as a superpower. From pondering gilded royal staterooms to sampling gourmet reindeer and sipping vodka in an ice bar, we experience the city's cultural highlights. Then we sail the archipelago for the prettiest island-hopping in northern Europe.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/stockholm,https://www.tvmaze.com/episodes/525326/rick-steves-europe-6x09-stockholm,525326
78,6,10,S06E10,Helsinki and Tallinn: Baltic Sisters,"Helsinki, Finland's Neoclassical old town has a modern flair for design; two-hour boat ride to Tallinn, Estonia.",Modern Life & Urban,Standard,No,Finland,Finland; Estonia,Baltic,Helsinki and Tallinn,FI,🇫🇮,60.1666204,24.9435408,simple,2010-11-28,2010,Nov,Sun,3738,7,tt1763871,https://www.imdb.com/title/tt1763871/,7.2,20,7.497652016857315,FALSE,https://i1.ytimg.com/vi/mypgWmryWrI/maxresdefault.jpg,ricksteves.com,"The fascinating capitals of Finland and Estonia offer a chance to sample each country's history, art, and distinct love of life. We'll start in Helsinki with its Neoclassical old town, modern flair for design, and steamy saunas. Then it's just a two-hour boat ride to Tallinn — with its medieval charms and newfound prosperity — celebrating its freedom and thriving in its post-USSR renaissance.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/helsinki-and-tallinn-baltic-sisters,https://www.tvmaze.com/episodes/525327/rick-steves-europe-6x10-helsinki-and-tallinn-baltic-sisters,525327
79,6,11,S06E11,Northern Spain and the Camino de Santiago,"Tracing the trail of pilgrims, from the French border to Santiago de Compostela; running with the bulls in Pamplona; Celtic culture of Galicia.",Nature & Outdoors; Religion & Spirituality,Standard,No,Spain,Spain,Iberia,Camino de Santiago,ES,🇪🇸,41.6929906,-3.5450744,full,2010-12-05,2010,Dec,Sun,3745,7,tt1779011,https://www.imdb.com/title/tt1779011/,6.8,23,7.282908271100465,FALSE,https://d2zwvgyp7l6t28.cloudfront.net/assets/Rick-Steves-Europe-Large-f1bfdb2ed3aa8b62f464f714a4266b11d0ee794ec73f7e75e0a72307e4d05ba3.png,ricksteves.com,"Tracing the trail of pilgrims, from the French border to Santiago de Compostela; running with the bulls in Pamplona; Celtic culture of Galicia.",tvmaze,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/northern-spain-and-the-camino-de-santiago,https://www.tvmaze.com/episodes/525328/rick-steves-europe-6x11-northern-spain-and-the-camino-de-santiago,525328
80,6,12,S06E12,Basque Country,The ancient Basque Country capital of Gernika; Guggenheim Museum Bilbao.,Art & Architecture; History & Heritage; Modern Life & Urban,Standard,No,Spain,Spain; France,Iberia,Basque Country,ES,🇪🇸,42.9911816,-2.5543023,full,2010-12-12,2010,Dec,Sun,3752,7,tt1903849,https://www.imdb.com/title/tt1903849/,7.1,19,7.460388110272601,FALSE,https://i1.ytimg.com/vi/JYwUUDdYi9I/maxresdefault.jpg,ricksteves.com,"The homeland of the proud and resilient Basque people is split between France and Spain. From our San Sebastián home base, we tour the ancient Basque capital of Guernica, the dazzling Guggenheim Bilbao, and then cross into France for more Basque Country charms. From yummy tapa bars to lightning-fast jai alai games, we’ll experience Basque culture at its most vivid.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/basque-country,https://www.tvmaze.com/episodes/525329/rick-steves-europe-6x12-basque-country,525329
81,7,1,S07E01,Rome: Ancient Glory,Rome's Colosseum and Pantheon; bike riding along the Appian Way; Roman engineering.,History & Heritage; Modern Life & Urban,Standard,No,Italy,Italy,Mediterranean,Rome,IT,🇮🇹,41.8933203,12.4829321,full,2012-10-07,2012,Oct,Sun,4417,665,tt5142846,https://www.imdb.com/title/tt5142846/,8,45,7.911546213648142,FALSE,https://i1.ytimg.com/vi/PKKMCcaoUkc/maxresdefault.jpg,ricksteves.com,"Part one of three shows on the Eternal City, this episode resurrects the rubble and brings back to life the capital of the ancient world. Focusing on the grandeur of classical Rome, we'll admire the groundbreaking architecture at the Colosseum and Pantheon, and the empire's exquisite art at the Capitoline Museum. Then we'll head out on a bike ride along the ancient Appian Way and take in nearby marvels of Roman engineering.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/rome-ancient-glory,https://www.tvmaze.com/episodes/525330/rick-steves-europe-7x01-rome-ancient-glory,525330
82,7,2,S07E02,Rome: Baroque Brilliance,Bernini statues; St. Peter's Basilica at the Vatican; Roman dinner; romantic nightspots.,Art & Architecture; History & Heritage; Religion & Spirituality,Standard,No,Italy,Italy,Mediterranean,Rome,IT,🇮🇹,41.8933203,12.4829321,full,2012-10-14,2012,Oct,Sun,4424,7,tt5169204,https://www.imdb.com/title/tt5169204/,7.9,34,7.836149805891757,FALSE,https://i.ytimg.com/vi/ZQ4QufGWap4/maxresdefault.jpg,ricksteves.com,"This second of three shows on Rome reveals a city busy with life and bursting with Baroque. We'll ramble through the venerable heart of Rome, admire breathtaking Bernini statues, ponder sunbeams inside St. Peter's Basilica at the Vatican, and mix and mingle with the Romans during an early-evening stroll. Following an exquisite Roman dinner, we'll join locals after dark, lacing together the Eternal City's most romantic nightspots.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/rome-baroque-brilliance,https://www.tvmaze.com/episodes/525331/rick-steves-europe-7x02-rome-baroque-brilliance,525331
83,7,3,S07E03,Rome: Back-Street Riches,The Trastevere district's historic Jewish Ghetto; churches.,Religion & Spirituality; Modern Life & Urban,Standard,No,Italy,Italy,Mediterranean,Rome,IT,🇮🇹,41.8933203,12.4829321,full,2012-10-21,2012,Oct,Sun,4431,7,tt5169212,https://www.imdb.com/title/tt5169212/,7.8,31,7.776303431667669,FALSE,https://i1.ytimg.com/vi/OhBQ2j9RIO4/maxresdefault.jpg,ricksteves.com,"In this third of three shows on the Eternal City, we'll explore this grand metropolis — so rich in art and culture — on a more intimate scale, delving into its back lanes and unheralded corners. Venturing through the crusty Trastevere district, visiting the historic Jewish Ghetto, and enjoying art treasures in a string of rarely visited churches, we uncover charms of hidden Rome that compete with its marquee sights.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/rome-back-street-riches,https://www.tvmaze.com/episodes/525332/rick-steves-europe-7x03-rome-back-street-riches,525332
84,7,4,S07E04,Florence: Heart of the Renaissance,Michelangelo's David; Botticelli's Birth of Venus; Ghiberti's Gates of Paradise; Florentine artists live and work across the Arno.,Art & Architecture,Standard,No,Italy,Italy,Mediterranean,Florence,IT,🇮🇹,43.7697955,11.2556404,full,2012-10-28,2012,Oct,Sun,4438,7,tt7147614,https://www.imdb.com/title/tt7147614/,8.1,32,7.948155156102176,FALSE,https://i1.ytimg.com/vi/Ut-e40u3lS0/maxresdefault.jpg,ricksteves.com,"Fifteenth-century Florence was the home of the Renaissance and the birthplace of our modern world. In this first of two episodes, we'll gaze into the self-assured eyes of Michelangelo's David, enjoy Botticelli's Birth of Venus, delve into the 3-D wonders of Ghiberti's Gates of Paradise, appreciate Fra Angelico's serene beauty, and climb the dome that kicked off the Renaissance. Then we'll cross the Arno to where Florentine artisans live, work, and eat…very well.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/florence-heart-of-the-renaissance,https://www.tvmaze.com/episodes/525334/rick-steves-europe-7x04-florence-heart-of-the-renaissance,525334
85,7,5,S07E05,Florentine Delights and Tuscan Side Trips,Pisa and Lucca; a tipsy tower; Puccini.,Music & Festivals,Standard,No,Italy,Italy,Mediterranean,Florence and Tuscany,IT,🇮🇹,43.6925285,11.2096315,full,2012-11-04,2012,Nov,Sun,4445,7,tt7147616,https://www.imdb.com/title/tt7147616/,7.9,34,7.836149805891757,FALSE,https://i1.ytimg.com/vi/KJErL3KkD_8/maxresdefault.jpg,ricksteves.com,"In this second of two episodes on Florence, we'll enjoy more of the exquisite artistic treasures of the city that propelled Europe out of the Middle Ages. Then we'll side-trip to a couple of rival cities and cultural capitals in their own right, Pisa and Lucca, where we'll marvel at a tipsy tower, circle a city on its ramparts, and enjoy some Puccini in his hometown.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/florentine-delights-and-tuscan-side-trips,https://www.tvmaze.com/episodes/525335/rick-steves-europe-7x05-florentine-delights-and-tuscan-side-trips,525335
86,7,6,S07E06,Paris: Regal and Intimate,Cruising the River Seine; Napoleon's tomb; Louvre; shopping in Paris; Bastille Day celebration.,Art & Architecture; History & Heritage; Nature & Outdoors; Modern Life & Urban,Standard,No,France,France,Western Europe,Paris,FR,🇫🇷,48.8534951,2.3483915,full,2012-11-11,2012,Nov,Sun,4452,7,tt7147618,https://www.imdb.com/title/tt7147618/,8.2,37,8.021257192487242,FALSE,https://i1.ytimg.com/vi/AT5g1a7cBRM/maxresdefault.jpg,ricksteves.com,"In Paris, amidst all of its grandeur, the little joys of life are still embraced. In this first of two episodes on Paris, we'll cruise the Seine River, visit Napoleon's tomb, and take in the Louvre. Then we'll feel the pulse of Paris — shopping in village-like neighborhoods, attending church in a grand pipe organ loft, and celebrating the mother of all revolutions with a big, patriotic Bastille Day bang.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/paris-regal-and-intimate,https://www.tvmaze.com/episodes/525336/rick-steves-europe-7x06-paris-regal-and-intimate,525336
87,7,7,S07E07,Paris: Embracing Life and Art,Cluny Museum; midnight ride in a classic car; stained glass in Sainte-Chapelle; Pere Lachaise Cemetery; Parisian cafes.,Art & Architecture; Modern Life & Urban; Industry & Crafts,Standard,No,France,France,Western Europe,Paris,FR,🇫🇷,48.8534951,2.3483915,full,2012-11-18,2012,Nov,Sun,4459,7,tt7147612,https://www.imdb.com/title/tt7147612/,8.2,37,8.021257192487242,FALSE,https://i1.ytimg.com/vi/fW3u7LbD5E4/maxresdefault.jpg,ricksteves.com,"In this second of two episodes on Europe's ""City of Light,"" we'll ride a unicorn into the Middle Ages at the Cluny Museum, take a midnight Paris joyride in a classic car, get an extremely close-up look at heavenly stained glass in Sainte-Chapelle, go on a tombstone pilgrimage at Père Lachaise Cemetery, and savor the Parisian café scene. Few cites are so confident in their expertise in good living — and as travelers, we get to share in that uniquely Parisian joie de vivre.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/paris-embracing-life-and-art,https://www.tvmaze.com/episodes/525337/rick-steves-europe-7x07-paris-embracing-life-and-art,525337
